"sample_Forward reads"	"raw.all_Forward reads"	"raw.Uniq_Forward reads"	"afterTrim.all_Forward reads"	"afterTrim.Uniq_Forward reads"	"afterDenoise.all_Forward reads"	"afterDenoise.Uniq_Forward reads"	"afterMerge.all_Forward reads"	"afterMerge.Uniq_Forward reads"	"afterBimera.all_Forward reads"	"afterBimera.Uniq_Forward reads"
"2-D62"	53243	11835	49684	9026	49507	976	45379	848	36516	89
"3-D63"	53281	11717	50638	9495	50315	1245	46800	1100	35026	96
"4-D1PM"	53296	11722	45402	8582	45333	488	39209	353	33780	53
"6-D59PM"	53359	11102	49815	8246	49674	692	44844	552	36583	64
"inoculum-6-10"	53435	13231	50711	10895	50049	638	45169	520	38557	132
"3-D42PM"	53551	11266	50585	8840	50442	835	46889	741	38351	56
"4-D52AM"	54033	11516	49972	9240	49818	827	44438	687	38553	78
"2-D57AM"	54213	13075	50379	9916	50033	1010	45317	853	35934	107
"2-D1AM"	54243	12472	48401	9673	48138	650	39081	520	32049	55
"4-D57PM"	54566	11898	50674	8734	50390	926	45664	764	36697	91
"5-D63"	54597	11980	51862	9803	51564	1289	46845	1101	35642	106
"3-D59AM"	54774	11084	52541	9294	52297	1074	48041	930	35178	101
"2-D11"	54927	16378	50682	13120	50288	1225	46106	1026	37309	123
"9-D0PM"	55183	8539	50708	6321	50353	358	37730	282	32042	71
"10-D59AM"	55189	9408	52665	7682	52509	879	48039	731	40183	92
"5-D1PM"	55379	10806	48103	8154	48032	507	41908	354	35761	64
"5-D35AM"	55394	11464	51896	9207	51562	918	48700	776	40370	107
"2-D64AM"	55562	12068	52852	9897	52588	1153	48499	1017	36263	88
"10-D8"	55588	11688	51470	9551	51301	902	47533	738	39522	94
"6-D53"	55800	11316	52175	9393	51994	788	46474	641	39608	83
"3-D28AM"	55921	15870	52069	12959	51490	1170	47220	956	39980	135
"4-D44AM"	55950	11871	52022	9523	51932	827	46524	696	37453	51
"4-D58PM"	55976	11240	52599	8549	52345	810	47302	677	39099	95
"2-D9"	56075	14665	52130	11861	51757	1191	47952	963	37937	110
"5-D11"	56304	13903	52291	11297	51997	1247	47683	1026	38322	117
"3-D64PM"	56462	12133	53419	9591	53147	1138	48989	985	39650	101
"8-D24"	56834	8050	51452	6053	51320	723	48918	538	43605	83
"5-D44AM"	56844	10297	52755	8190	52668	627	48116	518	40092	42
"5-D30PM"	56908	12520	51662	9716	51531	1043	46618	825	39922	115
"2-D54"	57104	14971	52730	11702	52440	952	47030	784	37644	94
"3-D50PM"	57312	12184	53449	9774	53176	973	48925	820	41199	94
"5-D25"	57342	13134	54549	11019	53854	1044	50560	856	44443	138
"3-D29AM"	57502	14154	53365	11412	53074	1266	48835	1054	39790	107
"5-D60PM"	57865	11203	55195	9109	54916	1097	50559	945	40373	98
"3-D1AM"	58010	13171	51659	10393	51388	675	43876	513	34822	58
"2-D52PM"	58031	13424	52890	9794	52668	808	47913	649	39465	90
"4-D1AM"	58354	12408	52478	9722	52335	716	43968	572	35751	63
"3-D23AM"	58464	14880	53872	11935	53173	1176	48152	879	41364	130
"4-D32"	58589	17331	53309	13826	52952	1318	46459	1103	37021	115
