""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"4-D51PM"	50805	47218	47037	47122	44052	37001
"4-D52AM"	54033	49424	49278	49323	43922	38180
"4-D52PM"	74237	68996	68777	68818	63122	53726
"4-D53"	86405	80639	80340	80461	73653	61865
"4-D54"	61701	57021	56681	56872	51173	40271
"4-D57AM"	68132	63779	63470	63555	58295	46334
"4-D57PM"	54566	50623	50385	50414	46034	37031
"4-D58AM"	76480	72117	71851	71958	67124	55884
"4-D58PM"	55976	52587	52364	52442	47351	39144
"4-D59AM"	80254	77289	76965	77076	70010	56782
"4-D59PM"	67204	64377	64080	64184	58924	46683
"4-D6"	101419	90939	90470	90627	81245	65498
"4-D60AM"	60647	56396	56139	56172	51057	41820
"4-D60PM"	80752	76767	76441	76539	70589	57941
"4-D61"	88730	82861	82478	82567	74723	60128
"4-D62"	85280	79872	79525	79609	72546	57804
"4-D63"	61481	58400	58021	58172	52968	39638
"4-D64AM"	49007	46487	46175	46361	42006	30184
"4-D64PM"	51071	48100	47954	48000	44505	36102
"4-D7"	71317	63406	62987	63093	55835	45298
"4-D8"	34634	31052	30986	30968	28087	24579
"4-D9"	51119	46821	46491	46670	42487	35161
"5-D0AM"	12040	10867	10798	10802	10076	9802
"5-D0PM"	47614	43307	43019	43185	33104	26722
"5-D10"	79536	73581	73167	73402	66949	53372
"5-D11"	56304	51903	51641	51764	46432	37302
"5-D14"	139952	123998	123427	123553	109261	89318
"5-D16"	116287	99416	99072	99007	83807	70860
"5-D18"	123023	109600	108838	109153	94191	73892
"5-D1AM"	45560	38691	38508	38446	33120	29384
"5-D1PM"	55379	47057	46986	46794	41251	35205
"5-D21AM"	121720	111340	110939	111061	99815	82925
"5-D21PM"	122868	110263	109753	109917	96839	78179
"5-D22AM"	62833	58974	58517	58812	54782	47535
"5-D22PM"	83805	77158	76621	76889	70438	61693
"5-D23AM"	79525	74835	74437	74667	70148	60524
"5-D23PM"	45965	43227	42722	43017	39095	34792
"5-D24"	52081	47118	46636	46933	43321	38978
"5-D25"	57342	54296	53668	54045	50140	44230
"5-D28AM"	69036	65133	64613	64906	60305	53378
"5-D28PM"	49624	45927	45356	45720	40903	35319
"5-D29AM"	50722	47037	46566	46857	40806	28351
"5-D29PM"	105331	96420	95903	96176	85711	66521
"5-D2AM"	74840	67618	67411	67426	59866	49437
"5-D2PM"	65926	59791	59567	59643	54587	47346
"5-D30AM"	67019	60977	60853	60876	55413	47461
"5-D30PM"	56908	51161	51043	51061	46178	39614
"5-D31AM"	88652	79801	79343	79600	70940	55219
"5-D31PM"	76233	69722	69221	69540	63533	49414
"5-D32"	97843	86838	86491	86604	78109	64139
"5-D33"	129649	112859	112283	112519	101948	78904
"5-D35AM"	55394	51559	51243	51432	48161	39936
"5-D35PM"	81245	74647	74209	74431	67904	54721
"5-D36AM"	69897	62022	61741	61843	56799	47160
"5-D36PM"	94993	85503	85243	85300	80965	69835
"5-D37AM"	87930	77603	77470	77426	69240	63756
"5-D37PM"	103454	92417	92168	92182	85356	74910
"5-D38"	84889	74935	74757	74741	69387	60207
"5-D39"	91824	83995	83714	83837	79305	68695
"5-D3AM"	74078	65858	65564	65599	57791	48371
"5-D3PM"	78670	69044	68894	68789	59312	50902
"5-D42AM"	84978	74627	74368	74464	66678	53836
"5-D42PM"	87551	77975	77754	77766	70818	56796
"5-D43AM"	79290	71281	71026	71051	65223	50995
"5-D43PM"	65424	59478	59328	59334	54495	43579
"5-D44AM"	56844	52074	52007	51986	47310	39467
"5-D44PM"	95627	85568	85348	85345	76029	59424
"5-D45AM"	66035	61615	61398	61490	58258	46259
"5-D45PM"	65284	60375	60280	60253	56875	46096
"5-D46"	94290	87803	87549	87622	80206	62497
"5-D47"	125800	116070	115700	115785	106139	82253
"5-D4AM"	84754	74898	74541	74550	65667	54026
"5-D4PM"	92978	85524	84982	85233	77232	61699
"5-D5"	92055	82909	82355	82616	73041	59143
"5-D50AM"	69072	64022	63765	63852	58765	44247
"5-D50PM"	77529	70301	70042	70118	61823	47272
"5-D51AM"	64814	60358	60050	60221	56081	43593
"5-D51PM"	60275	55707	55521	55593	51620	40337
"5-D52AM"	70860	64231	64099	64093	57396	48125
"5-D52PM"	74725	66475	66174	66281	55861	43816
"5-D53"	72289	64043	63755	63803	57558	44425
"5-D54"	63163	54922	54720	54732	49005	40654
"5-D57AM"	67921	62306	61982	61953	55553	43364
"5-D57PM"	67287	61735	61375	61534	54300	41199
"5-D58AM"	51732	47926	47755	47787	43651	35180
